Soil Type,Soil depth(cm),ph,Bulk density Gm/cc,Ec (dsm-1),Organic carbon (%),Soil moisture retention  (%),Available water capacity(m/m), Infiltration rate cm/hr, Clay %, Crops to be taken
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,0,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,1,8.2,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,2,8.3,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,3,8.4,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,4,8.5,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,5,8.6,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,6,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,7,8.2,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,8,8.3,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,9,8.4,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,10,8.5,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,11,8.6,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,12,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,13,8.2,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,14,8.3,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,15,8.4,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,16,8.5,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,17,8.6,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,18,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,19,8.2,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,20,8.3,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,21,8.4,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,22,8.5,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,23,8.6,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,24,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,25,8.2,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,26,8.3,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,27,8.4,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,28,8.5,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,29,8.6,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1.1,57,Soybean pigeonpea Maize Sorghum
Deep black soil,0,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,1,8.2,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,2,8.3,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,3,8.4,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,4,8.5,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,5,8.6,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,6,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,7,8.2,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,8,8.3,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,9,8.4,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,10,8.5,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,11,8.6,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,12,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,13,8.2,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,14,8.3,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,15,8.4,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,16,8.5,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,17,8.6,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,18,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,19,8.2,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,20,8.3,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,21,8.4,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,22,8.5,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,23,8.6,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,24,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,25,8.2,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,26,8.3,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,27,8.4,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,28,8.5,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,29,8.6,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1.2,57,Soybean pigeonpea Maize Sorghum
Deep black soil,0,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,1,8.2,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,2,8.3,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,3,8.4,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,4,8.5,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,5,8.6,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,6,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,7,8.2,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,8,8.3,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,9,8.4,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,10,8.5,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,11,8.6,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,12,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,13,8.2,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,14,8.3,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,15,8.4,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,16,8.5,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,17,8.6,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,18,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,19,8.2,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,20,8.3,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,21,8.4,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,22,8.5,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,23,8.6,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,24,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,25,8.2,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,26,8.3,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,27,8.4,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,28,8.5,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,29,8.6,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1.3,57,Soybean pigeonpea Maize Sorghum
Deep black soil,0,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,1,8.2,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,2,8.3,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,3,8.4,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,4,8.5,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,5,8.6,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,6,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,7,8.2,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,8,8.3,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,9,8.4,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,10,8.5,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,11,8.6,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,12,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,13,8.2,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,14,8.3,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,15,8.4,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,16,8.5,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,17,8.6,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,18,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,19,8.2,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,20,8.3,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,21,8.4,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,22,8.5,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,23,8.6,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,24,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,25,8.2,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,26,8.3,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,27,8.4,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,28,8.5,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,29,8.6,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1.4,57,Soybean pigeonpea Maize Sorghum
Deep black soil,0,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,1,8.2,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,2,8.3,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,3,8.4,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,4,8.5,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,5,8.6,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,6,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,7,8.2,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,8,8.3,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,9,8.4,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,10,8.5,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,11,8.6,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,12,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,13,8.2,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,14,8.3,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,15,8.4,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,16,8.5,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,17,8.6,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,18,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,19,8.2,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,20,8.3,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,21,8.4,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,22,8.5,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,23,8.6,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,24,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,25,8.2,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,26,8.3,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,27,8.4,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,28,8.5,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,29,8.6,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.3,1.2,0.8,41,0.26,1.5,57,Soybean pigeonpea Maize Sorghum
Deep black soil,30,8.1,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,31,8.2,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,32,8.3,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,33,8.4,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,34,8.5,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,35,8.6,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,36,8.7,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,37,8.8,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,38,8.9,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,39,8.1,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,40,8.2,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,41,8.3,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,42,8.4,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,43,8.5,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,44,8.6,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,45,8.7,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,46,8.8,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,47,8.9,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,48,8.2,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,49,8.3,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,50,8.4,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,51,8.5,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,52,8.6,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,53,8.7,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,54,8.8,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,55,8.9,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,56,8.2,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,57,8.3,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,58,8.4,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,59,8.5,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,60,8.6,1.4,1.3,0.6,39,0.26,1.1,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,30,8.1,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,31,8.2,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,32,8.3,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,33,8.4,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,34,8.5,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,35,8.6,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,36,8.7,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,37,8.8,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,38,8.9,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,39,8.1,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,40,8.2,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,41,8.3,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,42,8.4,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,43,8.5,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,44,8.6,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,45,8.7,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,46,8.8,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,47,8.9,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,48,8.2,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,49,8.3,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,50,8.4,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,51,8.5,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,52,8.6,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
Deep black soil,53,8.7,1.4,1.3,0.6,39,0.26,1.2,53,Cotton Rice Pigeonpea Blackgram Sunflower
